filing_id,symbol,company_name,exchange,filed_at,headline,category,event_type,event_direction,event_summary,freshness_tag,quality_score,urgency_score,deal_size_inr,contextual_tags,gap_pct,rsi_7_pre,rsi_14_pre,vol_spike_5d,vol_spike_20d,vwap_delta_t0,atr_rel_range,intraday_anchor_open,intraday_anchor_vwap5,ret_t0_15min_open,ret_t0_15min_vwap,ret_t0_30min_open,ret_t0_30min_vwap,ret_t0_1h_open,ret_t0_1h_vwap,ret_t0_day,ret_t1_day,ret_t3_day,ret_t5_day,price_t_minus_1,price_t0_close,price_t1_close,price_t3_close,price_t5_close,sector_rel_return,market_rel_return,sector_alpha,sector_alpha_tercile
1,LT,Larsen & Toubro Limited,NSE,2026-04-23T09:38:24+05:30,Bagging/Receiving of orders/contracts,Engineering,UNKNOWN,NEUTRAL,Groq unavailable,WARM,49.0,0.0,,WARM_FILING|CAT_UNKNOWN,,,,,,,,4009.9,3991.6437,0.3018,0.7605,0.4514,0.9108,0.6933,1.1538,0.7196,,,,4016.0,4044.9,,,,,,,UNKNOWN
2,COFORGE,Coforge Limited,NSE,2026-04-23T10:09:46+05:30,Press Release,,UNKNOWN,NEUTRAL,Groq unavailable,FRESH,49.0,0.0,,FRESH_FILING|CAT_UNKNOWN,,,,,,,,1237.5,1235.8179,-0.4444,-0.3089,-0.404,-0.2685,0.0404,0.1766,-0.0889,,,,1237.7,1236.6,,,,,,,UNKNOWN
3,JSL,Jindal Stainless Limited,NSE,2026-04-23T08:29:58+05:30,Press Release,Steel And Steel Products,UNKNOWN,NEUTRAL,Groq unavailable,WARM,49.0,0.0,,WARM_FILING|CAT_UNKNOWN|OPEN_VWAP_DIVERGENCE,,,,,,,,789.0,784.3252,-0.7414,-0.1498,-0.9379,-0.3475,-0.9125,-0.322,-0.9892,,,,783.5,775.75,,,,,,,UNKNOWN
5,DYNAMATECH,Dynamatic Technologies Limited,NSE,2026-04-23T06:24:36+05:30,Press Release,Compressors / Pumps,UNKNOWN,NEUTRAL,Groq unavailable,WARM,49.0,0.0,,WARM_FILING|CAT_UNKNOWN,,,,,,,,11425.5,11439.4057,1.2166,1.0935,1.2385,1.1154,1.1334,1.0105,0.6428,,,,11590.0,11664.5,,,,,,,UNKNOWN
6,SARLAPOLY,Sarla Performance Fibers Limited,NSE,2026-04-22T23:50:51+05:30,Outcome of Board Meeting,Textiles - Synthetic,UNKNOWN,NEUTRAL,Groq unavailable,WARM,49.0,0.0,,WARM_FILING|CAT_UNKNOWN|OPEN_VWAP_DIVERGENCE,,,,,,,,90.0,88.8079,1.7778,3.144,1.3333,2.6936,1.1889,2.5472,-8.8889,,,,99.0,90.2,,,,,,,UNKNOWN
7,VSTIND,VST Industries Limited,NSE,2026-04-23T09:52:17+05:30,Change in Management,Cigarettes,UNKNOWN,NEUTRAL,Groq unavailable,FRESH,49.0,0.0,,FRESH_FILING|CAT_UNKNOWN,,,,,,,,262.87,262.4058,-0.4451,-0.269,0.1408,0.3179,0.175,0.3522,-0.625,,,,264.0,262.35,,,,,,,UNKNOWN
8,SHILPAMED,Shilpa Medicare Limited,NSE,2026-04-23T09:20:52+05:30,Change in Management,Pharmaceuticals,UNKNOWN,NEUTRAL,Groq unavailable,WARM,49.0,0.0,,WARM_FILING|CAT_UNKNOWN|OPEN_VWAP_DIVERGENCE,,,,,,,,407.9,410.4836,2.1574,1.5144,5.1361,4.4743,3.1258,2.4767,3.6165,,,,412.0,426.9,,,,,,,UNKNOWN
13,STEELXIND,STEEL EXCHANGE INDIA LIMITED,NSE,2026-04-23T09:56:06+05:30,Updates,,UNKNOWN,NEUTRAL,Groq unavailable,FRESH,49.0,0.0,,FRESH_FILING|CAT_UNKNOWN|OPEN_VWAP_DIVERGENCE,,,,,,,,10.4,10.2491,1.8269,3.3261,-0.3846,1.082,0.0,1.4723,2.2201,,,,10.36,10.59,,,,,,,UNKNOWN
14,CIPLA,Cipla Limited,NSE,2026-04-23T09:48:27+05:30,General Updates,Pharmaceuticals,UNKNOWN,NEUTRAL,Groq unavailable,FRESH,49.0,0.0,,FRESH_FILING|CAT_UNKNOWN|OPEN_VWAP_DIVERGENCE,,,,,,,,1234.1,1244.1409,1.5315,0.7121,3.4114,2.5768,4.7403,3.895,4.0355,,,,1239.0,1289.0,,,,,,,UNKNOWN
15,KPEL,K.P. Energy Limited,NSE,2026-04-23T09:32:27+05:30,Updates,,UNKNOWN,NEUTRAL,Groq unavailable,WARM,49.0,0.0,,WARM_FILING|CAT_UNKNOWN|OPEN_VWAP_DIVERGENCE,,,,,,,,353.6,360.3197,2.155,0.2499,5.6109,3.6413,4.3863,2.4396,4.1822,,,,354.6,369.43,,,,,,,UNKNOWN
